,url_length,hostname_length,path_length,query_length,has_ip,has_at_symbol,count_dots,count_hyphens,count_slashes,count_underscores,count_question_marks,count_equals,count_ampersands,count_digits,count_uppercase,count_lowercase,digit_ratio,uppercase_ratio,special_char_count,subdomain_count,max_segment_length,avg_segment_length,url_entropy,hostname_entropy,path_entropy,uses_https,suspicious_words,count_percent,count_semicolons,count_colons,count_brackets,count_plus,count_asterisk,path_depth,query_params,max_consecutive_digits,max_consecutive_letters,hostname_digit_ratio,path_digit_ratio,domain_length,tld_length,vowel_consonant_ratio,unique_char_ratio,numeric_domain_ratio,shortening_service,suspicious_tld
492777,-0.7910826,-0.7847584,-0.8592841,-0.21509846,7.206232,-0.12997864,0.3340256,-0.4341171,-0.9059022,-0.2848693,-0.3530344,-0.28930125,-0.16986519,0.643827,-0.1802945,-1.5106539,4.742949,-0.4285961,-0.2241128,1.4336245,-1.4990646,-1.552285,-2.0112846,-2.3484638,-0.53994876,-1.0827192,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,-0.27889544,0.23221964,-1.4434451,6.5811152,3.4958518,0.5837344,-3.2683303,-4.5729,0.96311945,6.743331,-0.2556622,-0.072919846
491810,0.5333894,4.645798,-0.0062713195,-0.21509846,-0.13876878,-0.12997864,2.4561164,1.370788,0.84454393,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,1.0171652,-0.6716428,-0.4285961,-0.2241128,4.076065,2.4364347,0.9838956,-0.072138734,1.6976991,0.49284476,-1.0827192,10.075636,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,1.0654423,-0.27889544,-0.68225485,-0.8450379,-0.2335685,-0.5758652,-1.5220658,-1.0802006,1.0549523,-1.5507427,-0.22330509,-0.2556622,-0.072919846
153915,0.12750283,-0.37746668,0.65287495,-0.21509846,-0.13876878,-0.12997864,-0.37333798,0.46833542,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,0.39729476,0.04951289,0.04492708,0.86829466,0.3785505,-0.2241128,0.112404324,-0.51518965,-0.5764055,1.4146221,-0.6342013,0.9010783,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,0.46697214,-0.27889544,2.3659935,-0.6455688,-0.2335685,1.050151,-0.46916574,0.013864466,1.7736647,0.1118897,-0.22330509,-0.2556622,-0.072919846
200267,-0.04339679,0.8444085,-0.0062713195,-0.21509846,-0.13876878,-0.12997864,1.0413892,-0.4341171,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,0.20048517,-0.6716428,-0.4285961,0.0598347,1.4336245,-0.51518965,-0.2010672,-1.183173,0.48047146,0.19901834,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,0.46697214,-0.27889544,-0.68225485,-0.6455688,-0.2335685,-0.5758652,-0.46916574,0.013864466,-0.31913388,-1.1507448,-0.22330509,-0.2556622,-0.072919846
112976,0.4479396,0.5728807,-0.62664425,0.8344378,-0.13876878,-0.12997864,0.3340256,-0.4341171,-0.9059022,-0.2848693,1.7101827,0.6672391,-0.16986519,0.3151173,0.04951289,0.5116013,0.46382916,0.23268057,1.4795722,0.112404324,0.86223507,0.4745417,1.0934715,0.95375,-0.07529089,0.9236005,-0.22325253,3.3182967,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.72996825,0.5884504,-0.07260519,0.75071466,-0.2335685,-0.5758652,1.0048945,0.013864466,0.23712812,-0.8482177,-0.22330509,-0.2556622,-0.072919846
342131,-0.36383358,-0.10593886,-0.31645778,-0.21509846,-0.13876878,-0.12997864,-0.37333798,-0.4341171,0.84454393,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,-0.34396818,-0.6716428,-0.06979551,-0.2241128,0.112404324,0.07513522,-0.25849718,-1.0972309,0.2833038,-0.29340976,-1.0827192,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,0.46697214,-0.27889544,-0.68225485,-0.04716162,-0.2335685,-0.5758652,0.16257435,-1.0802006,-0.6691862,-0.34075275,-0.22330509,-0.2556622,-0.072919846
272932,-0.1288466,-0.24170277,0.14882192,-0.21509846,-0.13876878,-0.12997864,1.0413892,0.91956174,-0.32242018,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,0.12611535,-0.14952055,-0.6716428,0.8782127,-0.2241128,0.112404324,-0.31841472,-0.42627013,-0.50665325,0.22569804,0.5011456,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.13149805,-0.27889544,-0.68225485,-0.44609973,-0.2335685,-0.5758652,-0.2585857,0.013864466,0.16424851,-0.8325337,-0.22330509,-0.2556622,-0.072919846
63387,-0.19293395,-0.37746668,0.0712753,-0.21509846,-0.13876878,-0.12997864,-0.37333798,0.017109161,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,0.3151173,-0.027089573,-0.4217472,1.106549,0.26179343,-0.2241128,0.112404324,-0.51518965,-0.5764055,0.6584166,-0.6342013,0.6858813,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,0.46697214,-0.27889544,2.0611687,-0.6455688,-0.2335685,1.6444877,-0.46916574,0.013864466,0.92427486,0.54565376,-0.22330509,-0.2556622,-0.072919846
34892,-0.1288466,0.70864457,-0.12259124,-0.21509846,-0.13876878,-0.12997864,0.3340256,-0.4341171,-0.32242018,1.3956746,-0.3530344,-0.28930125,-0.16986519,-0.4244795,0.04951289,-0.032851968,-0.6716428,0.55151045,-0.2241128,1.4336245,-0.31841472,-0.31366867,-0.19477005,0.47764343,0.44233814,0.9236005,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.13149805,-0.27889544,-0.68225485,-0.44609973,-0.2335685,-0.5758652,-0.2585857,0.013864466,-0.04171437,-0.68789214,-0.22330509,-0.2556622,-0.072919846
452278,-0.620183,-0.37746668,-0.7041909,-0.21509846,-0.13876878,-0.12997864,-0.37333798,-0.4341171,0.26106188,-0.2848693,-0.3530344,-0.28930125,-0.16986519,-0.4244795,-0.1802945,-0.7328634,-0.6716428,-0.4285961,-0.2241128,0.112404324,-0.51518965,-0.48935956,-1.1866298,-0.12373753,-0.42138663,-1.0827192,-0.22325253,-0.06929124,-0.11634927,-0.1210725,-0.07281241,-0.09906927,-0.009524341,-0.13149805,-0.27889544,-0.68225485,-0.6455688,-0.2335685,-0.5758652,-0.46916574,0.013864466,0.12113074,0.6311313,-0.22330509,-0.2556622,-0.072919846
