,Unnamed: 0,url_length,hostname_length,path_length,has_ip,has_at_symbol,count_dots,count_hyphens,uses_https,suspicious_words
173004,173004,41,10,24,False,False,2,0,False,0
97206,97206,83,16,60,False,False,3,3,False,0
561315,561315,37,0,37,False,False,3,0,False,0
240768,240768,40,13,20,False,False,2,0,False,0
453768,453768,46,0,33,False,False,3,1,False,0
527371,527371,38,14,17,False,False,2,0,False,1
204721,204721,28,0,28,False,False,2,0,False,0
160714,160714,40,0,40,False,False,1,1,False,0
221194,221194,25,0,25,False,False,1,0,False,0
427117,427117,41,0,41,False,False,1,1,False,0
313428,313428,54,0,54,False,False,2,0,False,0
389718,389718,119,22,10,False,False,3,1,False,0
167187,167187,54,0,54,False,False,2,4,False,0
309607,309607,21,0,21,False,False,1,2,False,0
219824,219824,44,0,44,False,False,3,0,False,0
48873,48873,51,0,41,False,False,2,1,False,0
619774,619774,40,0,28,False,False,3,0,False,0
28120,28120,57,0,57,False,False,1,4,False,0
52740,52740,21,0,21,False,False,1,0,False,0
463284,463284,39,9,23,False,False,2,0,False,0
500087,500087,41,0,41,False,False,1,0,False,0
245314,245314,34,0,22,False,False,1,0,False,0
588092,588092,44,0,44,False,False,2,0,False,0
91635,91635,37,0,37,False,False,2,0,False,0
391971,391971,27,0,27,False,False,2,0,False,0
410567,410567,40,23,10,False,False,2,0,False,0
599527,599527,238,0,69,False,False,5,1,False,0
33096,33096,78,0,78,False,False,1,5,False,0
211849,211849,82,21,54,False,False,4,0,False,1
485659,485659,23,10,6,False,False,2,0,False,0
156975,156975,16,0,16,False,False,1,0,False,0
110915,110915,198,71,120,False,False,10,3,False,1
396007,396007,43,0,30,False,False,3,0,False,0
35356,35356,44,0,44,False,False,2,0,False,0
243613,243613,17,0,17,False,False,1,0,False,0
178521,178521,49,18,24,False,False,3,0,False,0
390411,390411,25,0,25,False,False,1,0,False,0
397099,397099,48,0,48,False,False,1,2,False,0
170573,170573,9,0,9,False,False,1,0,False,0
324177,324177,59,0,59,False,False,4,3,False,2
125770,125770,44,0,44,False,False,2,2,False,0
39318,39318,40,0,40,False,False,2,1,False,0
444530,444530,19,0,19,False,False,1,0,False,0
123716,123716,66,0,66,False,False,2,4,False,0
300853,300853,69,0,69,False,False,1,6,False,0
486059,486059,108,15,86,False,False,2,1,False,2
51306,51306,43,0,21,False,False,1,1,False,0
263933,263933,15,0,15,False,False,1,0,False,0
159187,159187,146,12,10,False,False,3,7,False,0
474903,474903,81,16,10,False,False,3,0,False,0
179140,179140,9,0,9,False,False,1,0,False,0
386335,386335,17,0,17,False,False,1,0,False,0
318640,318640,79,17,26,False,False,5,1,False,0
29210,29210,59,28,10,False,False,4,0,False,0
534403,534403,33,16,10,False,False,2,0,False,0
387129,387129,39,0,39,False,False,1,1,False,0
633650,633650,43,0,43,False,False,3,0,False,0
478140,478140,44,0,44,False,False,1,0,False,0
16841,16841,26,0,26,False,False,1,0,False,0
131400,131400,148,30,10,False,False,3,5,False,0
385912,385912,19,0,19,False,False,1,0,False,0
84732,84732,24,0,24,False,False,1,1,False,0
225699,225699,35,0,35,False,False,2,0,False,0
537567,537567,26,14,5,True,False,3,0,False,0
284910,284910,89,0,89,False,False,3,6,False,0
558745,558745,24,0,24,False,False,2,0,False,0
603941,603941,32,0,32,False,False,3,0,False,0
291273,291273,14,0,14,False,False,1,0,False,0
514623,514623,131,19,10,False,False,4,10,False,0
536682,536682,44,13,24,True,False,4,0,False,0
506170,506170,57,0,57,False,False,2,0,False,0
423706,423706,13,0,13,False,False,1,0,False,0
114934,114934,73,0,73,False,False,2,5,False,0
575781,575781,43,0,43,False,False,4,0,False,0
328291,328291,96,17,71,False,False,1,8,True,0
213719,213719,15,0,15,False,False,1,0,False,0
556973,556973,31,0,31,False,False,3,0,False,0
544217,544217,40,12,20,False,False,2,0,True,0
485177,485177,72,23,10,False,False,3,0,False,0
8747,8747,25,0,25,False,False,2,0,False,0
61107,61107,9,0,9,False,False,1,0,False,0
527266,527266,34,20,7,False,False,1,0,False,0
452781,452781,66,0,66,False,False,3,2,False,0
394449,394449,113,21,85,False,False,4,0,False,0
30849,30849,61,0,61,False,False,1,4,False,0
19192,19192,29,0,21,False,False,2,0,False,0
6902,6902,108,22,10,False,False,3,0,False,0
553913,553913,44,11,26,False,False,3,0,False,0
167292,167292,38,0,38,False,False,3,0,False,0
212820,212820,23,0,23,False,False,1,0,False,0
249073,249073,16,0,16,False,False,2,0,False,0
491506,491506,36,0,36,False,False,1,0,False,0
375518,375518,37,0,37,False,False,1,1,False,0
586733,586733,53,0,53,False,False,2,1,False,0
203147,203147,46,0,46,False,False,1,1,False,0
296696,296696,83,12,64,False,False,1,11,False,0
197890,197890,33,0,33,False,False,1,0,False,0
357828,357828,13,0,13,False,False,1,1,False,0
386314,386314,101,23,10,False,False,3,0,False,0
378882,378882,40,0,40,False,False,1,0,False,0
638927,638927,33,0,33,False,False,3,0,False,0
319547,319547,53,0,53,False,False,1,4,False,0
450877,450877,43,0,43,False,False,1,0,False,0
349949,349949,23,0,23,False,False,2,1,False,0
421809,421809,58,0,58,False,False,2,0,False,0
89341,89341,63,0,63,False,False,1,0,False,0
560251,560251,183,0,90,False,False,2,2,False,1
601929,601929,39,0,39,False,False,4,0,False,0
483989,483989,24,0,24,False,False,1,0,False,0
171794,171794,106,0,106,False,False,2,5,False,0
546000,546000,32,14,11,True,False,4,0,False,0
461500,461500,45,0,45,False,False,1,2,False,0
118001,118001,61,0,35,False,False,3,0,False,0
369305,369305,34,0,34,False,False,2,1,False,0
548761,548761,52,20,24,False,False,3,1,True,0
191768,191768,100,24,69,False,False,3,4,False,0
477300,477300,66,0,66,False,False,2,5,False,0
257807,257807,27,0,27,False,False,1,1,False,0
29507,29507,31,0,31,False,False,1,1,False,0
614231,614231,58,0,58,False,False,5,1,False,0
44506,44506,87,15,65,False,False,1,0,False,0
223508,223508,23,0,23,False,False,2,0,False,0
633203,633203,30,0,30,False,False,2,0,False,0
72255,72255,47,0,47,False,False,3,0,False,0
181222,181222,31,0,31,False,False,1,2,False,0
215803,215803,20,0,20,False,False,1,0,False,0
367179,367179,28,0,28,False,False,2,0,False,0
644195,644195,20,0,20,False,False,3,0,False,0
474197,474197,109,17,10,False,False,3,0,False,0
87841,87841,34,0,34,False,False,1,0,False,0
640394,640394,26,0,26,False,False,3,0,False,0
219339,219339,23,0,23,False,False,2,0,False,0
321155,321155,74,0,74,False,False,1,6,False,0
570536,570536,112,0,36,False,False,2,0,False,0
519175,519175,47,13,27,False,False,1,2,False,0
363855,363855,75,0,43,False,False,2,1,False,0
382806,382806,31,0,17,False,False,1,0,False,0
201193,201193,35,0,35,False,False,1,0,False,0
453093,453093,46,0,27,False,False,2,2,False,0
413741,413741,30,0,30,False,False,1,0,False,0
63492,63492,49,0,49,False,False,1,2,False,0
233533,233533,64,0,56,False,False,2,2,False,0
129066,129066,27,0,27,False,False,2,0,False,0
625952,625952,32,0,32,False,False,3,0,False,0
460623,460623,40,18,15,False,False,3,1,False,1
95798,95798,74,0,18,False,False,1,8,False,1
542953,542953,34,14,7,True,False,4,0,False,0
68764,68764,48,0,48,False,False,3,0,False,0
534448,534448,70,15,27,False,True,3,0,False,1
519032,519032,10,0,10,False,False,1,0,False,0
11482,11482,87,15,65,False,False,2,12,False,0
514924,514924,34,0,34,False,False,2,0,False,0
475971,475971,69,28,34,False,False,2,2,False,0
476593,476593,32,0,32,False,False,2,1,False,0
363736,363736,61,0,61,False,False,2,4,False,0
644347,644347,49,0,49,False,False,3,0,False,0
543357,543357,33,12,13,False,False,1,0,True,0
496235,496235,36,0,36,False,False,1,2,False,0
546086,546086,29,12,10,True,False,3,0,False,0
2211,2211,83,0,83,False,False,1,12,False,0
